Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Strasse und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;Datum der Aufnahme der kommerziellen Stromeinspeisung der Erzeugungseinheit [Datum/jahr];Kraftwerksstatus (in Betrieb/vorlaeufig stillgelegt/saisonale KonservierungReservekraftwerk/Sonderfall);Energietraeger;"Spezifizierung ""Mehrere Energietraeger"" und ""Sonstige Energietraeger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energietraeger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energietraeger (Zuordnung zu einem Hauptenergietraeger bei Mehreren Energietraegern)";"Foerderberechtigt nach EEG
(ja/nein)";"Waermeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknuepfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemaess Netzbetreiber;Netz- oder Umspannebene des Anschlusses;Name Stromnetzbetreiber
BNA1431;;;06295;Lutherstadt Eisleben;Kassler Strasse 46( Eisleben/13,12/43,320,313,107,101/4,...);Sachsen-Anhalt;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;19,70 ;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA0289a;Mainova AG;HKW West;60627;Frankfurt am Main;Gutleutstrasse 231;Hessen;M4;01.01.1990;Endgueltig Stillgelegt 2016 (mit StA);Sonstige Energietraeger;Dampfversorgung ueber HKW West Block 2, 3, 4;;"Sonstige Energietraeger
(nicht erneuerbar)";Nein;Nein;19,70 ;UW Gutleutstrasse;30;NRM Netzdienste Rhein-Main GmbH
BNA1903;innogy SE;WPD Windpark;49401;Damme;Lembrucher Strasse;Nordrhein-Westfalen;;21.11.2016;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;19,60 ;733249401000000000000000451650;Mittelspannung (MS);Westnetz
BNA1463;Smurfit Kappa Herzberg Solid Board GmbH;;37412;Herzberg;Andreasberger Str. 1;Niedersachsen;;01.01.1978;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;19,50 ;;Mittelspannung (MS);EWE / Harzenergie
BNA1421;;;02627;Kubschuetz;Gemarkung Litten 52/13 Gemarkung Purschwitz 241/6;Sachsen;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;19,50 ;;;ENSO Netz GmbH
BNA1091;Onyx Germany MidCo GmbH;Zolling;85406;Zolling;Leininger Str. 1;Bayern;BMHKW;01.01.2003;in Betrieb;Biomasse;Altholz;HEL;Biomasse;Ja;Ja;19,50 ;110-kV-Schaltfeld E05 / LS 173;Hochspannung (HS);Bayernwerk AG
BNA1018;Windpark Weenermoor Netzbetriebs-GbR mbH;;26826;Weener;;Niedersachsen;;01.01.1998;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,50 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0939a;EnBW Energie Baden-Wuerttemberg AG;Restmuell-Heizkraftwerk Stuttgart-Muenster;70376;Stuttgart;Voltastrasse 45;Baden-Wuerttemberg;MUeN DT19 neu;01.01.2009;in Betrieb;Mehrere Energietraeger;Abfall (2/3);Steinkohle (1/3);Abfall;Nein;Ja;19,50 ;;Mittelspannung (MS);Netze BW GmbH
BNA0720;Theolia Naturenergien GmbH;Windpark Vogelsberg;63636;Brachttal-Streitberg;;Hessen;Windpark Vogelsberg;01.01.2006;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;19,50 ;UW Waechstersbach;Mittelspannung (MS);Kreiswerke Main-Kinzig GmbH
BNA0425;Raiffeisenwindpark Haseluenne Flechum GmbH & Co. KG;;49740;Haseluenne;;Niedersachsen;;01.01.1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,50 ;;Mittelspannung (MS);EWE NETZ GmbH
BNA0128;"FWE Windpark Wittstedt K/S 
c/o ESSEX INVEST A/S";;27628;Bramstedt;;Niedersachsen;;01.01.2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,50 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0034;Buergerwindpark Koenigsmoor GmbH & Co KG;;26607;Aurich;;Niedersachsen;;01.01.2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,50 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0792;VERBUND-Innkraftwerke GmbH;Perach;84567;Perach;Niederperach;Bayern;;01.07.1977;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;19,40 ;UW Perach;Hochspannung (HS);Bayernwerk AG
BNA0962a;Solarpark Tutow V GmbH & Co. KG;Solarpark Tutow V GmbH & Co. KG;17129;Tutow;;Mecklenburg-Vorpommern;;01.01.2011;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;Nein;19,30 ;;Hochspannung (HS);E.DIS AG
BNA1885;Trianel Windpark Vogelherd GmbH & Co. KG;Trianel Windpark Vogelherd;95349;Thurnau;2391, Gemarkung Alladorf;Bayern;;20.02.2017;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,20 ;;;
BNA1786;;WP Hamer-Steenfeld / Projektnummer: 44666;25557;Hanerau-Hademarschen;Gemarkung Hademarschen, Flur 1, Flurstueck 18;Schleswig-Holstein;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,20 ;;;
BNA1728;;Windpark Hohenzellig;95176;Gemeinde Konradsreuth;FlNr. 185 Gemarkung Gottfriedsreuth;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,20 ;;;
BNA1694;;Windpark Coppenbruegge;31863;Coppenbruegge;Coppenbruegge, Flur 14, Flurstueck 17;Niedersachsen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,20 ;;;
BNA1650;;WP Moersdorf Nord GmbH & Co. KG;56290;Moersdorf;;Rheinland-Pfalz;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;19,20 ;;Mittelspannung (MS);Westnetz GmbH
BNA1644;;WP Hamer-Steenfeld / Projektnummer: 43787;25557;Steenfeld;Gemarkung Hademarschen, Flur 2, Flurstueck 24;Schleswig-Holstein;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;19,20 ;;Mittelspannung (MS);Schleswig-Holstein Netz AG
BNA1397b;Ineos Manufacturing Deutschland GmbH;O10;50769;Koeln;Alte Strasse 201;Nordrhein-Westfalen;T22;14.04.1964;in Betrieb;Mehrere Energietraeger;Reststoffe aus Produkt.;HD-Heizgas;"Sonstige Energietraeger
(nicht erneuerbar)";Nein;Ja;19,20 ;Kundenanlage Ineos;USp. Hoch- / Mittelspannung (HS/MS);Kundenanlage Ineos
BNA1242;ENERTRAG Aktiengesellschaft;UeST Roebel;17207;Roebel;"Gemarkung Roebel, 
Flur 14, Flurstueck 335/6";Mecklenburg-Vorpommern;UeST Roebel;01.01.1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,20 ;UeST Roebel;Mittelspannung (MS);E.DIS AG
BNA1192;Uniper Kraftwerke GmbH;Prem;86983;Lechbruck;Am Premer Lechsee;Bayern;Prem;01.01.1971;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;19,20 ;Schaltanlage vor Ort;Hochspannung (HS);Bayernwerk AG
BNA1714;;Windpark Buchonia;36391;Sinntal;Gemarkung Sterbfritz, Flur 1, Flurstueck 1;Hessen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;19,00 ;;;
BNA1581;;BWP BB Wind;24994;Weesby;"Flur 3; Stk. 8";Schleswig-Holstein;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;19,00 ;;USp. Hoch- / Mittelspannung (HS/MS);Schleswig-Holstein Netz AG
BNA1466;Alzkraftwerke Heider GmbH;Kraftwerk 3;84579;Unterneukirchen;Muehlthal 1;Bayern;;01.01.1920;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;19,00 ;Hart 2;USp. Hoch- / Mittelspannung (HS/MS);AlzChem AG
BNA1373;;;19348;Perleberg;"Gem.Perleb. Fl. 19 Flst. 74&765;Fl. 20 Flst. 73&763";Brandenburg;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;19,00 ;;;E.DIS AG
BNA1338;Eurowatt Spitzenkraft GmbH;Spitzenkraftwerk;94469;Deggendorf;Ruselbergstr. 87;Bayern;MLD;01.01.1990;Endgueltig Stillgelegt 2014 (ohne StA);Mineraloelprodukte;;;Mineraloelprodukte;Nein;Ja;19,00 ;Umspannwerk Deggendorf;Mittelspannung (MS);Bayernwerk AG
BNA0825;EnBW Energie Baden-Wuerttemberg AG;Rheinkraftwerk Reckingen;79790;Kuessaberg;Kraftwerkstrasse 24;Baden-Wuerttemberg;Reckingen;01.01.1942;in Betrieb;Laufwasser;;;Laufwasser;Nein;nein;19,00 ;Reckingen bzw. CH;Hochspannung (HS);Netze BW GmbH
BNA1422;;;02627;Kubschuetz;Gemarkung Litten 52/13 Gemarkung Purschwitz 241/6;Sachsen;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;18,90 ;;;ENSO Netz GmbH
BNA1406;FS-Karton GmbH;FS-Karton;41460;Neuss;Duesseldorfer Str. 182-184;Nordrhein-Westfalen;;01.01.1992;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;18,90 ;;Hochspannung (HS);Westnetz GmbH
BNA1374;;;24988;Oeversee;A 7;Schleswig-Holstein;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;18,90 ;;;Schleswig-Holstein Netz AG
BNA1292b;Sales & Solutions GmbH;IHKW Heidenheim;89522;Heidenheim;Alexanderstr. 8;Baden-Wuerttemberg;BHKW-Anlage;06.11.2014;in Betrieb;Erdgas;Erdgas;HEL;Erdgas;Nein;Ja;18,90 ;DE.00027.88952.201220080080000000001;Mittelspannung (MS);Hellenstein-Energie-Logistik GmbH
BNA1239;Donau-Wasserkraft AG;Bertoldsheim;86643;Rennertshofen;;Bayern;entfaellt;01.01.1968;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;18,90 ;loco Kraftwerk;110, 16,7 Hz;DB Energie GmbH
BNA1961;Windpark Schoenberg GmbH ? Co. KG;Windpark Schoenberg GmbH ? Co. KG;23923;Schoenberg;;Mecklenburg-Vorpommern;;27.11.2019;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,80 ;;Mittelspannung (MS);E.DIS Netz GmbH
BNA1375;Solarparc AG;Flugplatz Mahlwinkel;39517;Mahlwinkel;ehemaliger Militaerflughafen;Sachsen-Anhalt;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;18,80 ;;;Avacon AG
BNA1269;innogy SE;Trier;54294;Trier;;Rheinland-Pfalz;;11.01.1962;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;18,80 ;;Mittelspannung (MS);Westnetz GmbH
BNA0650;Planung-Aufbau-Verwaltung Eidelweg GmbH & Co. KG;;26529;Marienhafe;;Niedersachsen;;01.01.2004;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,80 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0354;Georg-August-Universitaet Goettingen, Stiftung Oeffentlichen Rechts;HKW Goettingen;37075;Goettingen;Rudolf-Diesel-Strasse 1;Niedersachsen;;01.01.1998;in Betrieb;Mehrere Energietraeger;Erdgas;Heizoel;Erdgas;Nein;Ja;18,80 ;DE0003303707310300000000001902150;Mittelspannung (MS);EnergieNetz Mitte GmbH 
BNA1510;Spreestromerzeugungs GmbH;Hamburger Rieger;03130;Spremberg;An der Heide B5;Brandenburg;;01.01.2013;in Betrieb;Abfall;;;Abfall;Nein;Ja;18,70 ;;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1407;Schoeller Technocell GmbH & Co. KG;STW;09600;Weissenborn;Fabrikstrasse 1;Sachsen;;14.05.1997;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;18,70 ;140844-3710;Mittelspannung (MS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1342;;;97289;Thuengen;Flurstueck 625;Bayern;;01.01.2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;18,70 ;;;Markt Thuengen Gemeindewerke - Stromversorgung
BNA1266;HSE Solarpark Thuengen GmbH & Co. KG;Solarpark Thuengen;97289;Thuengen;Flur 625;Bayern;Solarpark Thuengen;01.01.2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;Nein;18,70 ;;Mittelspannung (MS);Bayernwerk AG
BNA1278;LHI Solar Deutschland VI GmbH & Co. KG;Welzow II Flughafen;03119;Welzow;;Brandenburg;;01.01.2011;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;Nein;18,60 ;;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1058;;;26639;Wiesmoor;;Niedersachsen;;01.01.2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,60 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0532a;REG Regenerative Energien Standortentwicklung Gmbh & Co. Kirchwistedt KG;Windpark Kirchwistedt;27616;Kirchwistedt;;Niedersachsen;;28.06.2005;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;18,60 ;UW Gnarrenburg;Mittelspannung (MS);EWE NETZ GmbH
BNA0131;;;14770;Brandenburg;;Brandenburg;;01.01.2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;18,60 ;;Mittelspannung (MS);Stadtwerke Brandenburg an der Havel GmbH
BNA1740;;Repowering WP Helmshagen;17498;Gemarkung Hohenmuehl;Flur 1, Flst. 9/1;Mecklenburg-Vorpommern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,50 ;;;
BNA1626;;Windpark Langenzenn;90579;Langenzenn;"Gemarkung Labendorf; Flurstueck: 849";Bayern;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,50 ;;Hochspannung (HS);N-ERGIE Netz GmbH
BNA1587;;Niederhausen an der Appel;67822;Niederhausen an der Appel;;Rheinland-Pfalz;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,50 ;;Hochspannung (HS);Pfalzwerke Netz AG
BNA1467;Papierfabrik August Koehler SE;;77704;Oberkirch;Hauptstrasse 2-4;Baden-Wuerttemberg;;26.05.1987;in Betrieb;Steinkohle;Steinkohle;ERB, kom. KS;Steinkohle;Nein;Ja;18,50 ;;Mittelspannung (MS);Stadtwerke Oberkirch GmbH
;EEG-Anlagen < 10 MW;;;;;Hessen;;01.01.1990;in Betrieb;Deponiegas;;;Deponiegas;Ja;;18,50 ;;;
;EEG-Anlagen < 10 MW;;;;;Baden-Wuerttemberg;;01.01.1990;in Betrieb;Klaergas;;;Klaergas;Ja;;18,50 ;;;
BNA1929;Windpark GmbH & Co. Grabow-Reesen KG;WP Grabow-Reesen;39291;Reesen;;Sachsen-Anhalt;;10.04.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,40 ;UW Burg;Mittelspannung (MS);Avacon Netz GmbH
BNA1849;Windpark GmbH & Co. Heidehof III KG;WPHeidehofIII, 14913Markendorf;14913;Markendorf;;Brandenburg;;13.05.2016;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,40 ;UW Schoenewalde;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA1591;;Weidehof;25764;Reinsbuettel;Flur 6 Flurstueck 28;Schleswig-Holstein;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,40 ;;USp. Hoch- / Mittelspannung (HS/MS);Schleswig-Holstein Netz AG
BNA1436;Trasse Muenchberg GmbH & Co. KG, c/o BW Partner;Windpark Hof;95176;Konradsreuth;;Bayern;;01.01.2012;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,40 ;UW Gottersdorf;Hochspannung (HS);Bayernwerk AG
BNA1398;SwissKrono Tex GmbH & Co.KG;Energieanlage 3;16909;Heiligengrabe;Wittstocker Chaussee 1;Brandenburg;;10.10.2002;in Betrieb;Biomasse;Biomasse (Holz);;Biomasse;Ja;Ja;18,40 ;UW Heiligengrabe;USp. Hoch- / Mittelspannung (HS/MS);E.DIS AG
BNA1171;e.disnatur Erneuerbare Energien GmbH;WP Ketzin;14669;Ketzin;;Brandenburg;;01.01.2005;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,40 ;;Mittelspannung (MS);E.DIS AG
BNA1137;innogy SE;Enkirch;56850;Enkirch;;Rheinland-Pfalz;;01.01.1966;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;18,40 ;;Mittelspannung (MS);Westnetz GmbH
BNA0887g;LHI Green Infrastructure Solar Deutschland I GmbH & Co. KG;Windpark Heidehof II;14913;Markendorf;Landkreis Teltow-Flaeming;Brandenburg;;01.01.2012;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,40 ;;Hoechstspannung (HoeS);50Hertz Transmission GmbH
BNA0887f;Windpark GmbH & Co. Jaenickendorf KG;WP Jaenickendorf;14913;Heidehof/Markendorf;;Brandenburg;;11.02.2013;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,40 ;UW Schoenewalde;Hochspannung (HS);50Hertz Transmission GmbH
BNA0850;Windfarm Elsdorf II GmbH;Windpark Elsdorf II;27356;Rotenburg;;Niedersachsen;;22.05.2008;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,40 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0690;Windpark Achmer Vinte GmbH & Co. KG Renditefonds;;49586;Neuenkirchen ;;Niedersachsen;;01.01.2005;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,40 ;;Hochspannung (HS);Westnetz GmbH
BNA0191;Danpower Energie Service GmbH;;04509;Delitzsch;;Sachsen;;01.10.2004;in Betrieb;Biomasse;;;Biomasse;Ja;;18,40 ;;Mittelspannung (MS);TWD Netz GmbH
BNA1758;;Veldenz-Gornhausen-Monzelfeld;54472;Gemarkung Veldenz;Flur 12, Flurstueck 1/18   (alt 1/16);Rheinland-Pfalz;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,30 ;;;
BNA1746;;Windpark Kurzen Trechow;18246;Kurzen Trechow;Gemarkung Langen Trechow, Flur 1, Flurstueck 23;Mecklenburg-Vorpommern;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,30 ;;;
BNA1745;;Windpark Tribsees;18465;Tribsees;Flurstueck 61, Flur 13, Gemarkung Tribsees;Mecklenburg-Vorpommern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,30 ;;;
BNA1697;;Windpark Klingenberg;28790;Schwanewede;;Niedersachsen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,30 ;;;
BNA1633;;Windpark Walsleben Goldbeck;39596;Goldbeck;;Sachsen-Anhalt;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,30 ;;Hochspannung (HS);HSN Magdeburg GmbH
BNA1577;;Buergerwindpark Schleiden;53937;Schleiden;;Nordrhein-Westfalen;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;18,30 ;;Mittelspannung (MS);Westnetz GmbH
BNA0114;Windpark Hiddels GmbH & Co. Betriebs KG;;26345;Bockhorn;;Niedersachsen;;01.01.2000;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;18,30 ;;Mittelspannung (MS);EWE NETZ GmbH
BNA0062;Sonae Arauco Beeskow GmbH;BHW Beeskow;15848;Beeskow;;Brandenburg;;01.01.2001;in Betrieb;Biomasse;;;Biomasse;Ja;Ja;18,30 ;Umspannwerk Beeskow der E.DIS AG;Hochspannung (HS);E.DIS AG
